,title,synopsis,avg_rating,published_date,review,rating
0,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,,4.36,"['October', '16,', '2018']","A Book That Changed My LifeA book worth reading once a year. In 2023, my goal is to consume less and create more. The stories in my heart and mind were finally going to meet paper. But I wasn’t actually writing anything. When the day started, I knew that I had to write. I wasn’t feeling very well so I would write later. Then, dinner would happen, and I was behind on my reading and didn’t feel any better than earlier in the day. Enter Atomic Habits. After reading the book, I took out my calendar and scheduled, “Writing,” from 1 pm to 1:20 pm. Now, I am actually writing.How many of us have goals: to have better relationships, to lose weight, to learn a language? We have the best of intentions, but we don’t have a plan with manageable actionable steps.Have you ever wondered how I got to be the #3 US Book Reviewer on GoodReads? Atomic Habits.Before reading Atomic Habits, I had what I now realize as wishful thinking or dreams. At times, sometimes I made it on to the top 100 book reviewers, but it was always a complete mystery to me. When I made the list, I couldn't believe my luck! I wanted to rate higher, but I had no real plan.Then, I read Atomic Habits. I sat down and had a clearly articulated goal. ""I want to rate X on the best reviewer list."" Okay. Sounds great. But what does that take? I looked at where I wanted to be on the weekly list and saw how many votes the reviewer received. I divided that number by 7 and knew that I needed to achieve that many votes per day to get to where I needed to be. Sure enough. I met my goal and started to become consistently ranked. Atomic Habits is all about shifting your dreams and wishful thinking into knowing exactly where you want to be and making a plan to get there.Also, it talks about lofty goals.Almost everybody can relate. We make lofty goals: I’m going to run a marathon! I’m going to write a book! I’m going to lose weight! After a few weeks of intense effort (if we make it that far), we give up and go back to the way things were.Did you know that I got back into reading by reading 6 books a year? That’s right. My goal was 6 books per year. The only reason that I initially picked up this book was that someone was RAVING about it, and I was extremely skeptical. I honestly thought that this book was just going to be a bunch of rah rah feel good, you can do it, pep talk. However, it had an entire list of actionable steps you can take to help you make progress on your goals. Little changes can make big differences over time. For example, when I lay out my sheet mask in the morning, I am much more likely to use it at night. This book made me want to write down goals for the year or at least start thinking of the things I wanted to make a priority. This is my second reading of Atomic Habits, and I read it as a buddy read (which I highly recommend). It is interesting to hear about other systems.During this read of Atomic Habits, I was struck by the idea of becoming 1% better.Growing up, I really enjoyed playing basketball. The game is fast-paced, and it was one game where I could actually score. However, I can’t jump very high. I was so fixated on this weak area that I convinced myself that I couldn’t be a basketball player.But you know what? I can sink three-pointers like nobody’s business. At Dave and Buster’s, I can easily achieve the high score. What if I didn’t give up? What if I spent my time trying to get better at running, aiming, teamwork, dribbling? As an overachiever, I do tend to obsess over my weak areas. I spend so much time on the weak area that I ignore some of my other talents. What would I achieve if I just accepted that I am not great in a particular area but focused my time on other areas? Would I enjoy the journey more?If you have tried losing weight or training, I would highly recommend this book. I can definitely see myself reading this once every year—it really is that good!2024 Reading Schedule	Jan	MiddlemarchFeb	The Grapes of WrathMar	Oliver TwistApr	Madame BovaryMay	A Clockwork OrangeJun	PossessionJul	The Folk of the Faraway Tree CollectionAug	Crime and PunishmentSep	Heart of DarknessOct	Moby-DickNov	Far From the Madding CrowdDec	A Tale of Two CitiesConnect With Me!Blog Twitter BookTube Facebook Insta",5.0
1,The Alchemist,,3.91,"['January', '1,', '1988']","It's the possibility of having a dream come true that makes life interesting. The Alchemist ~~  Paulo CoelhoI preface my review by saying I am amazed how wildly passionate people are in their feelings toward this novel ~~ regardless of whether they love or hate  The Alchemist. I’m one of those people who love it. But, I understand why people are so passionate in their dislike of this work.  Paul Coelho looks to inspire passion in people with The Alchemist. And he succeeds in doing so ~~ especially in those who are so passionate in their dislike of this book. The Alchemist is a novel that combines an atmosphere of medieval mysticism with the voice of the desert -- dreams, symbols, signs, and adventure follow Santiago and the reader like echoes of ancient wise voices. With this symbolic novel Coelho states that we should not avoid our destinies, and urges people to follow their dreams, because to find our ""Personal Myth"" and our mission on Earth is the way to find God, meaning happiness, fulfillment, and the ultimate purpose of creation.The novel tells the tale of Santiago, a boy who has a dream and the courage to follow it. After listening to ""the signs"" the boy ventures in his personal, journey of exploration and self-discovery, searching for a hidden treasure located near the pyramids in Egypt. In his journey, Santiago sees the greatness of the world, and meets all kinds of exciting people like kings and alchemists. However, by the end of the novel, he discovers that ""treasure lies where your heart belongs"", and that the treasure was the journey itself, the discoveries he made, and the wisdom he acquired.As the alchemist himself says when he appears to Santiago in the form of an old king ""when you really want something to happen, the whole universe conspires so that your wish comes true"". This is the core of the novel's theme. Isn't it true that all of us want to believe the old king when he says that the greatest lie in the world is that at some point we lose the ability to control our lives, and become the pawns of fate. Coelho also suggests that those who do not have the courage to follow their “Personal Myth"", are doomed to a life of emptiness, misery, and unfulfillment. Fear, fear of failure seems to be the greatest obstacle to happiness. The old crystal-seller tragically confesses: “I am afraid that great disappointment awaits me, and so I prefer to dream"". This is where Coelho really captures the drama of man, who sacrifices fulfillment to conformity, who knows he can achieve greatness but denies doing so, and ends up living an empty shell of a life.  The Alchemist is a novel that will not appeal to everybody. Not everyone will identify with Santiago. We all have dreams, and are praying for somebody to tell us they can come true. The novel skillfully combines words of wisdom, philosophy, and simplicity of meaning and language, and this is what makes it so enchanting.",5.0
2,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,,4.16,"['January', '1,', '1989']","This book explains 7 principles that make a person more effective personally and professionally. Covey shows how a principle-centered, character-based life helps you build the healthy relationships that are key to an effective life. This classic is well worth reading for its perspective and practical advice.ConceptsCorrect Principles: Covey frequently references his Christianity. He says the Habits are based on ""Correct Principles"" (aka Natural Law) found in Judeo-Christian Scriptures and common to major religions.P/PC Balance: Covey says you must maintain a balance between production (P; your output) and production capability (PC; your ability to produce). You must stay healthy and renew yourself (see Habit 7) or you'll get burned out and become ineffective. He uses the fable of the Goose and the Golden Egg as a metaphor.Interdependence: Covey says the Habits lead you from dependence to independence to interdependence (cooperating with others to achieve a common goal; producing things greater than the sum of their parts).The 7 HabitsHabit 1: Be ProactiveYou choose how to respond to what life throws at you. Between stimulus and response lies your freedom to choose. Take responsibility for your actions.Habit 2: Begin with the End in Mind Choose your short-term, daily behavior according to the plan you have for your entire life. Think about the legacy you want to leave. Put things in perspective; what would you want people to say at your funeral?Habit 3: Put First Things FirstDaily planning is too narrow and short-sighted. Weekly planning gives a better big-picture perspective of your goals, and allows for the flexibility to deal with the things that will inevitably come up.People are more important than things, so plan your time accordingly. Be efficient with things, but effective with people. You can't be efficient with relationships; they take time. Instead of focusing on things and time, focus on relationships and results.Only spend time on things that align with your deep values. Don't waste time on other things, even if it means saying no to requests. Don't prioritize your schedule; schedule your priorities.Think of tasks in terms of urgency and importance. Focus on the important, even though they seem less urgent. Think preventatively to keep tasks from ever becoming urgent.Use stewardship delegation instead of ""gofer"" delegation; teach a person to be the steward of the task you assign to them, rather than constantly telling them to ""go for this"" or ""go for that.""Habit 4: Think Win/WinMost of life requires cooperation, not competition. Work together with co-workers, friends, and family for mutual benefit. Approach everything in terms of ""win/win or no deal""; if you can't reach a deal in which both parties feel they're winning, don't make a deal at all. Create win/win agreements that clearly state expectations, privileges, consequences up front. This prevents you from having to figure those things out when issues arise, and makes the relationship more smooth because it causes each person to manage themselves.Think in terms of the Abundance Mentality rather than the Scarcity Mentality; the quest for recognition, credit, power, and profit isn't a zero-sum game. Be happy when others succeed.Habit 5: Seek First to Understand, Then to be UnderstoodListen with the intent to understand, not to reply. Diagnose before you prescribe. Understand needs, concerns, situation before you give advice.To understand others, listen with empathy. To be understood, present your views according to:• ethos: personal credibility• pathos: emotional alignment with the other person• logos: logical reasoningYou can't motivate people by appealing to satisfied needs (money, status, etc.); only unsatisfied needs motivate.Habit 6: Synergize.Value the differences in relationships. Oneness is not sameness, it's complementariness. Unity is not uniformity.Habit 7: Sharpen the SawRenew and improve in yourself in the following categories, by spending at least an hour on each category daily.• Physical: Eat right and exercise.• Spiritual: Find and carry an inner peace. Meditate, read Scripture, or spend time in nature.• Mental: Read good literature to gain the insights of others. Write, organize, and plan.• Social/emotional: Understand others. Serve others, at work or through volunteering.AfterwardCovey says a summary of the first 3 Habits is ""make and keep a promise,"" and a summary of the next 3 Habits is ""involve others in the problem and work out the solution together."" He says the first 3 Habits are about integrity, and the next 3 are about loyalty.",4.0
3,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,,3.89,"['January', '1,', '2016']","If you follow my reviews/blog at all, you probably already know that I am already a zero fucks given kind of gal when it comes to, well, bullshit.In fact, my best friend had the below picture as my contact photo in his phone for years.So it should come as no surprise that I, like many, was drawn to this book, 1) Because it has the word ""fuck"" in the title. Duh. And, 2) Because it's bright fucking orange. That said, the chum was in the water for me already based on that alone. But when I got to this:I knew this book and I would be friends. I am SO anti-participation trophy it's ridiculous. And, no, I don't care if that offends all the middle class helicopter moms and their special snowflakes. Your kid needs to learn how to lose.That's how character is built, my friends.And that's pretty much one of the major points in this book actually.That and, simply put, prioritizing where you put your emotional energy aka your fucks. Stuff I have a solid a handle on already. But, full transparency, I read this out of curiosity and with a slim to none expectation of there being anything life changing to take away from it.Don't get me wrong, color me surprised, I thought this book made a lot of solid points.Some really good, well articulated ones actually. I definitely do think this book has something to offer.For example, it reminded me that I need to stop hoping my sister and I form a BFF Sweet Valley High-esque sister friendship and accept the fact that we are 35+ fucking years old and it's just not gonna happen.And that's okay. She only texts me when she wants or needs something and, while we love and respect each other - we just aren't all THAT. And that's okay. As I said, it made good points - none of which the author attempted to claim creating - he just wrote it down in an easy, witty, sometimes offensive and conversational fashion with examples of his own life and personal epiphanies. It did get a little ridiculous sometimes with how much he referred to his former ""bangs all the ladies"" behavior. We get it, you are a walking dream machine. *eye roll*It also contradicted itself a bit in some areas, though nothing detrimental in my eyes. He also definitely walked a fine line when discussing certain issues as they pertain to women.Feminists and just some women in general will NOT appreciate this book. Not gonna lie though, right or wrong, this book definitely appealed to my snarky, crass kind of humor, reminding me once again that I apparently have the personality and sense of humor of a dude. But whatevers.That's not a fuck I care to give, apparently.",3.0
4,Who Moved My Cheese?,,3.86,"['January', '1,', '1999']",SPOILER ALERT! I am going to save anyone who thinks they need to read this book time & money by summarizing the entire book in the next two sentences: Things change. Learn to adapt.You're welcome. If you still feel the need to spend money please contact me & I will tell you where to send it.,1.0
5,How to Win Friends and Influence People,,4.22,"['October', '1,', '1936']","This book had a profound effect on me, however, of the negative variety. It did give me pointers on how to actually break out of my shell and ""win friends"" but in the long term, it did way more harm than good. Not the book per se, but my choice to follow the advice given there. The book basically tells you to be agreeable to everybody, find something to honestly like about them and compliment them on it, talk about their interests only and, practically, act like a people pleaser all the time.It might sound like a harmless, or even attractive idea in theory, but choosing to apply it in your every day life can lead to dangerous results. Case in point: after being a smiley happy person with loads of friends for about a year, the unpleasant realization began to creep in, that by being so agreeable to everybody else, I rarely ever got my way. I also sustained friendships with people who were self-centered, so talking about their interests was all we got to do together, which drained me of my energy. The worst thing still, is that by trying to find something to like about every person, I completely disregarded their glaring faults. It didn't matter that those people did have redeeming qualities - they weren't redeeming enough! I ended up with a bunch of friends I didn't really want and, because I was so preoccupied with ""winning"" those friendships I missed out on the chance to form relationships with good people. I suppose, for somebody who is a better judge of character, the principles outlined in this book *could* be of some value. But that's really just me trying to find something positive (using the ""principles"") in a book that I am still trying to UNlearn.If you want to win friends, you have to do it the hard way, by being yourself and risking rejection (and daring to do some rejection of your own, as well). And if you want to influence people the only fair way to do it is through honesty. All the rest is manipulation and pretending. Do not read this book, you'll only learn how to manipulate yourself & others. Do not read it out of fear of rejection & low self-esteem, there are better ways to gain some courage in approaching people. This will harm you in the long run.Thank you for reading this review.",2.0
6,Areté: Activate Your Heroic Potential,,4.75,"['November', '14,', '2023']","Brian Johnson is my favorite teacher philosopher that is living that I've read/listened to. I've been following his newsletter and +1s since I met him in a cafe in Santa Monica in ~2007. I've consumed countless of his Notes (book summaries) and 101's on my journey, and have found his recapitulation of the masters, and just his *energy* around the topics to be infectious and immensely helpful. Brian is food for the spirit, and I can't wait to read this.",
7,Think and Grow Rich,,4.18,"['January', '1,', '1937']","Let's be honest to ourselves and face the truth: success in business depends on a complex equation with a lot of variants, such as 1) how well your business idea adapts to the powers of supply and demand, which govern (and oppress) contemporary society, 2) where you come from economically to begin with (I've seen aromatherapy businesses run by middle-class sons of bitches grow and be more ""successful"" than neighborhood food establishments run by poor honest people), 3) how much investing capital you have at the time of creating your business, 4) your race, and 5) sheer dumb luck. Quotes like “The starting point of all achievement is DESIRE. Keep this constantly in mind. Weak desire brings weak results, just as a small fire makes a small amount of heat” are ludicrous, absolutely ridiculous and delve into the worst kind of new-agey, self-help bullshitting bullying: victim-blaming. So, if your business is not successful, you are to blame, because you simply failed to desire it enough? Fuck that shit. This book is a perfect example of everything that is wrong in today's first-world-white-heterosexual-male-dominated economic culture. Tell me that such ideas as ""desiring it enough"" would work in Somalia, hell, even in Egypt, and then we'll talk. Don't waste your time with this codswallop. Read real literature instead: you'll definitely increase your IQ this way.",1.0
8,The Secret,The worldwide bestselling phenomenon that has helped millions tap the power of the law that governs all our lives to create—intentionally and effortlessly—a joyful life.,3.73,"['November', '28,', '2006']","this website is too kind. one star means ""didn't like it"". I hate, hate, hate this book with absolute passion. sorry if you like oprah but she seriously did the world a disservice by recommending this book. apparently there is a dvd also that i don't even think i could stomach. so here's the concept behind ""The Secret"". You can attract good things to you through your good thoughts. Ok, I'm on board with that. It has worked for me. Ooh, I already knew the Secret! too bad I didn't use it to make millions like this chick! But no, it goes further. You attract bad things to you through your negative thoughts. Well, negative thoughts are pretty useless, so I can see benefit in trying to decrease or eliminate them. And one time (true story) I did get robbed while traveling after worrying about it for 3 weeks. BUT. There is no gray area with this one. According to the author, people who are raped, killed, maimed, tortured - they all bring it on themselves with their negative thoughts. The people in Darfur should be thinking ""here comes the food, there go the guns"". The book goes on to say that weight management is simply a matter of ""thinking thin"" and not looking at fat people (for real), that if you have a stack of bills to pay you should instead picture checks coming in, that you can have everything you want through visualization, such as your hands on the steering wheel of your car, and that you can cure your cancer watching funny movies. There is a weak chapter at the end about how you can use your Secret powers for the common good, like world peace, but why would you want to waste it when you can be driving your new Hummer? I would go so far as to say that this book is not only BAD but it is DANGEROUS. It promotes the self-absorbed, materialistic, shallow outlook of predominantly rich white people to the exclusion of the rest of the planet - while managing to blame them for their problems and justify those in possession of the Secret for not using their visualized wealth to promote social change. Aah, brilliant. genius. avoid this book. do not give money to this woman and her brilliant marketing pyramid!",1.0
9,"Rich Dad, Poor Dad",,4.12,"['April', '8,', '1997']","I bought this book on the recommendation of a client, and from page one I was feeling uncomfortable with it. I pushed aside the part of my mind that was shouting ""This guy is trashing highly educated people and the working poor!"" and I was able to actually become enthusiastic about the message of the book. Here is the message of the book, and as far as I can tell, the only thing of value in its pages: * When you own something, it is either putting money into your pockets, or taking money out of your pockets. Owning a business or earning royalties creates income. Owning a house and a car incurs expenses. * Try to own things that put money in your pocket. * If you rely on earning a wage or salary to put money in your pocket, you will be forever caught up in the vicious cycle of needing money, earning money and spending money. There you go. That's the big message this book will impart to you, and it will do it slowly and repetitively in the first three chapters, leaving the remainder of the book for the author to drone on and on about how turned $60,000 into $80,000 without ever going into specifics. Early in the book the author lists royalties as a form of income. Later in the book he disparages a young writer who laments that she hasn't been ""discovered"" yet. He tells her to take courses in marketing, which horrifies her (as it would me). He goes on to explain that his best-selling books are best sellers because he knows how to market them. I then saw the $10+ I dropped on this book as just another dollar in his pocket. He writes about 200 pages of repetitive, non-specific advice with only one interesting message (see above), and people line up to throw money at him because of a compelling title and a tough-love story. Towards the end, I felt embarassed to be seen with this book in public, just like I'd feel for responding to a ""get rich quick"" spam mail.",1.0
