,title,genre,description,review,rating
0,City Under Siege,Romance,"London is a city in flames. Tensions are high and a critical situation is about to go from bad to worse. The Prime Minister wants to send a message, and the SAS will be the ones to deliver it.Emotional detachment is my speciality. I’m ruthless and cut throat, but there is nobody better.Sarah Tatem is an innocent. Caught up in a world in which she doesn’t belong, and trying desperately to do the right thing. My job is to keep her safe long enough to get what’s needed, and bring an end to this siege of terror.But something has changed. I’ve learned that the only thing stronger than loyalty is love, and now she’s gone.My name is Lieutenant Tom Harper, and I’m about to unleash hell.","5 ‘I was fucking Wonder Woman’ starsGah! My reading jewel of this month!Incredibly well written.Amazing heroine. Strong hero.A perfect mix of action, suspense and romance. Maybe a bit too much romance for the similar story in the real life, but we’re in fiction, so let them make love! *lol*Sarah. Such an interesting and strong heroine. Strong, but tender. Feminine, but sassy. She had her ‘moments’, but the girl had balls! 
""You need to stop judging people’s strength by their size. When the storm comes, sometimes the fragile flower will still be standing, long after the sturdy tree has fallen.""
It’s always my pleasure to read about smart women. But give me a smart woman with a backbone and I’ll read your grocery list!
""But what you call different, I call unique. I don’t mind being different.""
I won’t spoil the story *see, I can also write spoil-free reviews*. Sarah’s character could be described with this one line: 
""…as long as I could stand back up, I could fight.""
You know the typical romance ‘alpha’? You won’t find this a§§hole here, instead we have a real strong and honorable Man. No man is perfect and this one wasn’t either, but he was a good one. Stoic soldier, a good son of his country, a strong man. 
""Albert Einstein once said that the world will not be destroyed by those who do evil, but by those who watch them without doing anything.""
For my readers, who like possessive heroes – ladies, he is your man (but without OTT childish cavemanish tantrums – or, well, yeah, he was still sexy jealous).
""I don’t deserve you,"" he told me. ""I have more blood on my hands than you’ll ever know. I’m not good at the romance stuff or talking about how I feel. Shit, there’s going to be times you’ll scream at me in frustration because I don’t know how to do shit like normal people. But I’m never letting you go, buttercup. And until the day comes when they put me in a box in the ground, I’m yours.""
Loved how he loved her!
""My beautiful splash of colour in a sea of grey.""
The action was on a heavy side, but it made the story real. Some dark moments, mention of violence. Not everything was plausible, maybe some small plot holes. But overall highly enjoyable read!I really hope the fiction of this story would never become a reality.Safe! She wasn’t a virgin. He wasn’t a virgin either *lmao*, only little information about his sexual past (meaningless sex, no sleepovers and yada yada), but I wouldn’t call him a manwhore. No OW drama.I have so many amazing friends on GR and unfortunately we’ll very probably never meet in real life *sad*, but with this story you had an opportunity to meet my ‘doppelgänger’ - aka me in 30 years.Nan. My STAR of this book. F*ck my life, woman, you cheeky bitch!
""Wine is for when you’re eating out silly girl. In this house, we drink spirits. Now I’ve got vodka or gin?"" She (Nan) held up a rather hefty bottle of each.""Bit of both?""""Darling, welcome to the family,"" she replied.
She was actually very sweet and kind person. It was me making pranks ;-) or not
""Young man, I realise that a body like that isn’t a gift from God. I imagine you’ve worked very hard to look like something most women would like to climb. So you can imagine how much regret and remorse I’ll be filled with when I’m forced to rip off your nipples and feed them to you, which is exactly what I’ll do if you don’t move that fine arse and get out of my way!""",5.0
1,Out of Plans,Romance,"THE NEW PLAN:  * Find Marc * DON'T find Marc * Take down a Russian Bratva boss * Don't have sex with Kingsley * Find Marc * Take down a Colombian drug lord * Don't fall for Marc again * DON'T FIND MARC * Kill every .. * * *SCREW THE PLAN AND JUST WING IT  This is the story of what happens when best laid plans fail, and a vengeful woman is forced to find her own way once again. A bond broken, trust shattered, and too many lies to keep track of find Marc and Lily all out of plans and running out of time. Can they find their way back to each other before trouble finds them first, or is it really the end of their journey?","★★★★★! Out Of Plans, book 2 of 2. Action-filled mission of vengeance with villains, greed, danger & wall-banging, contemptuous sex!


“Slow and sweet was nice, but she'd fucked his brains out during round two, and the third, they'd gotten a noise complaint from the front desk.”


Books in The Mercenaries series must be read in order:Book 1: Best Laid PlanBook 2: Out of PlansIn Best Laid Plans (book 1) mercenary and hitman Marcelle De Sant, Marc and transporter Liliana Brewster, Lily were thrown together on a dangerous and suspenseful mission trying to deliver stolen blood diamonds to the Russian mob.It was a race against time through a desert filled with land mines and riddled with villains. Clouded by lies and distrust they fought their fierce sexual attraction and their way out of Africa. Out Of Plans (book 2) picks up six months after book 1‘s shocking ending. While Marc is trying to carry on the mission, Lily is set on avenging her sister and revenging the man who hurt her. When their paths cross again it is nothing short of electrifying; raw and contemptuous sex and hilarious bantering. Again they find themselves chased by enemies and plagued by setbacks on a roller-coaster of plan B’s.


“They didn't say anything. The only noise in the room was their ragged breathing.”




Eight words to describe  Marcelle De Sant, Marc: Charming, loner, conflicted, noble, protective, possessive, ruthless and unpredictable.

Eight words to describe  Liliana Brewster, Lily: Smart, hot-headed, seductive, determined, conflicted, naïve, feisty and fearless.Out Of Plans, told from alternating POVs, is a suspenseful race to right wrongs with the perfect blend of danger, suspense, witty bantering and sizzling sex. Story ends on a high, closing the book a mission with a horizon filled with new plans.Spellbinding story-telling! Suspenseful and intriguing plot! Off-the-charts and noisy sex scenes! 


“See you around, De Sant,” she called out as he opened the door. He smirked at her. “Not if I see you first, Brewster,” he called back. Then he winked, stepped through the door, and was gone.”


***Hero rating: 4.5 stars Heroine rating: 4.5 starsSexual tension rating: 5 starsSex scenes rating: 5 starsSex scenes frequency: 4.5 starsPlot rating: 5 starsDialogue rating: 5 starsStorytelling rating: 5 starsStory ending rating: N/ABook editing rating (5 = no edits spotted): N/A, ARC************************************************Overall rating: 5 starsWould I recommend this series: Yes.Would I re-read this series: Maybe later.Would I read future books by this author: Yes.


ARC provided to me by author Stylo Fantôme in exchange for an honest review.",5.0
2,Best Laid Plans,Romance,"Together, they'll learn that sometimes even the best laid plans can fail.If this NOVEL were a MOVIE, it would have an R rating from the MPAA. Contains: Violence, Grisly Images, Strong Language, Nudity, and Graphic Sexual Content","★★★★ 3/4! Best Laid Plans, book 1 of 2. Thrown together on a dangerous mission, fighting their sexual attraction with bad guys at their heels!


“She giggled. Marc was pretty sure he'd never heard that sound come out of her before – it was like finding out a bobcat could giggle. Bizarre.”


Books in The Mercenaries series must be read in order:Book 1: Best Laid PlanBook 2: Out of PlansBest Laid Plans (book 1) sweeps us off to North Africa on a dangerous and suspenseful mission. Mercenary and hitman Marcelle De Sant, Marc has finished a month-long heist of stealing some blood diamonds delivering them to the Russian mob. Transporter Liliana Brewster, Lily has been on location ready to smuggle the diamonds out of Liberia and into Russia. Marc has plans for a vacation while Lily is embarking on her carefully laid out assignment. Having flirted for weeks they decide to let out some steam with a one-night stand. But come morning the sated lovers find themselves thrown together on a dangerous mission. Their mutual like quickly takes a nose dive clouded by lies and distrust as they are forced to fight their way out of Africa. It’s a race against time through a desert filled with land mines, riddled with enemies and villains. Add to that fighting their fierce sexual chemistry. Raw, dirty contemptuous sex and hilarious bantering make up their tempestuous relationship while their ever changing strategies quite possible become the worst laid plans…

 

Eight words to describe  Marcelle De Sant, Marc: Charming, loner, conflicted, noble, protective, possessive, ruthless and unpredictable.



Eight words to describe  Liliana Brewster, Lily: Smart, hot-headed, seductive, determined, conflicted, naïve, feisty and fearless.Best Laid Plans, told from alternating POVs, is a suspenseful nail-biter with danger, greed, suspense, witty bantering, off-the charts sexual tension and release. It ends with the opening of another chapter, leading right to book 2, 
Out of Plans
 for the conclusion of their story.Effortless story-telling! Suspenseful and intriguing plot! Scorching and dirty sex scenes! 


“That woman will fuck your world up. She looks like a pin up, fucks like a porn star, and fights like Tyson.”


***Hero rating: 4 stars Heroine rating: 4 starsSexual tension rating: 5 starsSex scenes rating: 5 starsSex scenes frequency: 4.5 starsPlot rating: 5 starsDialogue rating: 5 starsStorytelling rating: 5 starsStory ending rating: N/ABook editing rating (5 = no edits spotted): N/A, ARC************************************************Overall rating: 4.75 starsWould I recommend this series: Yes.Would I re-read this series: Maybe later.Would I read future books by this author: Yes.
ARC provided to me by author Stylo Fantôme in exchange for an honest review.
If you missed hanging out and chatting LIVE with Stylo, be sure to check out this ReCap, DICKtation of the 
AUGUST IndieSTAR chat
 on Shh…",5.0
3,Wolf Trouble,Paranormal,"..There's never been a female on the Dallas SWAT team and Senior Corporal Xander Riggs prefers it that way. The elite pack of alpha male wolfshifters is no place for a woman. But Khaki Blake is no ordinary woman.When Khaki walks through the door attractive as hell and smelling like heaven, Xander doesn't know what the heck to do. Worse, she's put under his command and Xander's protective instincts go on high alert. When things start heating up both on and off the clock, it's almost impossible to keep their heads in the game and their hands off each other...","Reviewed by: Rabid Reads.Men in uniform is already a winning combination for the majority of romance readers, but then Paige Tyler went ahead, and sweetened the deal by casting sixteen alpha werewolves as this series’ heroes. WOLF TROUBLE was an improvement on the first book thanks to its less foreseeable plot twists, stronger amorous components, and because the shifter aspects were explored in greater detail. I thoroughly enjoyed my second SWAT experience, and will, without fail, be back for thirds!My two main criticisms of HUNGRY LIKE THE WOLF were with regards to its lack of insight into the author’s wolves, and the overall cheesiness of the love story. Both of those issues were addressed in this installment, and as a result, I now have no problem committing to this series for the long haul. Tyler didn’t disclose all of her furry secrets, but she did provide an answer to my query about female werewolves, and explored it at length, so on that front I was completely satisfied.This novel’s plot was more along the lines of what I’ve come to expect from the Romantic Suspense genre as a whole with its multiple threads—none of which were overly predictable—and a generous helping of action to help offset the steamier bits. The author excelled at weaving in the various law agencies’ procedures by tackling things like inter-department collaboration, and bringing all of their specialized training to the fore. This book lived and breathed SWAT.Khaki and Xander’s relationship was a huge step in the right direction compared to the previous couples'; there were no eye rolling moments, and its progression felt more natural due to the female protagonist already being a cop… among other things. Yes, there were still a couple of things that were lost in translation, but it was normal men are from Mars, and women are from Venus stuff. The boss / subordinate dynamics also made the stakes more interesting to say the least.WOLF TROUBLE was a sexy game of tug-a-war between two alphas, and a must read. ~4.5 Stars",5.0
5,Witness to Passion,Romantic Suspense,"Under his protection and in his bed…For Fallon Wayland, birthdays are just another reminder of her looming spinsterhood. This year is shaping up to be no different. Unfairly fired from her job, dumped by her boyfriend, and oh yes, witnessing the murder of a high-ranking lieutenant in the local crime family… Yeah, birthdays suck.Ever since a disastrous, hot-as-hell kiss years ago, soldier-turned-security specialist Shane Roarke has avoided his baby sister’s reckless—and gorgeous—best friend. Yet when her life is threatened after she witnesses a gang hit, he insists on protecting her…even if she objects. The two are forced to hole up in a safe house. Alone. Passion long denied erupts between them, burning away their inhibitions. But even as layers—and clothes—are peeled away, danger closes in. Shane and Fallon might finally have a chance at love…if they survive long enough to see it.","3.5 Stars!!Fallon is a twenty-five years old girl who grew all her life without love and attention from her family. She saw what marriage did to her parents, so she’s not looking to tie the knot anytime soon or to be involved in a serious relationship. She may consider a no strings attached relationship with someone, but the thing is her lust interest doesn’t seem to notice her, or more exactly he doesn’t seem to see her like a woman. The reason? He is the big brother of her best friend. Shane Roarke is a former soldier turned security specialist, co-owner GDG Security Solutions. Shane knows Fallon for more than ten years. He saw her blossom in a lovely girl and later in a beautiful woman. He’s attracted to her, more than he wants to be and this is a bad, bad thing because he knows she’s off limits. For seven years since the ‘kiss incident’ he avoided his baby sister’s best friend like the plague, but when Fallon is in danger he’s ready to forget about their past and do anything to protect her. 

“She kissed like a sinner, not a saint. A sinner who enjoyed it. Just one crush of lips and tangle of tongues seven years ago, and he still remembered her taste. Sunshine and sex.”

Fallon still remembers that night when she embarrassed herself kissing Shane Roarke. She can admit to herself she still has a huge crush for this man who still insists she’s only like a sister to him. The two of them are forced by certain circumstances to hole up in a safe house. Alone. For an indefinite period of time. With too much free time. Well, well,...what can they do to fill their free time...especially when their chemistry is so sizzling. 

“Need was a living animal writhing inside her as she gripped his cock directly above his fist. Hot. Steel. Velvet. She tightened her hold, and it bucked and pulsed in her hand. This close his fresh wind scent was sharper, distilled, and combined with the unique musk that belonged solely to him, it made her mouth water for a taste. A taste…hell. She wanted to gorge herself on him.”

This read surprised me in a very good way. It had a little bit of everything, it was entertaining from start to finish and the writing was really engaging. While the suspense was low, the steam here was pretty high and I was more than fine with that. Both Fallon and Shane were likeable characters and their characterization was well done. Fallon is a girl who knows who she is and especially what she wants. She’s determined and funny and I just loved her sassiness. Shane was not as alpha as I expected, but I have to say he was just as good as one. He’s sexy, caring, considerate and protective. What annoyed me a little was the fact at times he acted like a high school kid...he thought too much..Anyway...I enjoyed their interactions, their sweet banter and of course the smexy sex scenes between them, which were hot as hell.  Overall, a great read!",4.0
6,Hard as It Gets,Romance,"..Trouble just walked into Nicholas Rixey's tattoo parlor. Becca Merritt is warm, sexy, wholesome--pure temptation to a very jaded Nick. He's left his military life behind to become co-owner of Hard Ink Tattoo, but Becca is his ex-commander's daughter. Loyalty won't let him turn her away. Lust has plenty to do with it too.With her brother presumed kidnapped, Becca needs Nick. She just wasn't expecting to want him so much. As their investigation turns into all-out war with an organized crime ring, only Nick can protect her. And only Becca can heal the scars no one else sees.Desire is the easy part. Love is as hard as it gets. Good thing Nick is always up for a challenge..","LAURA KAYE  

My first book and I am in love with her writing and this series!Nothing can go wrong in this book - all the right mixture is in it!   Ex-Army Special Forces, Tattooed, Impressive Biceps, Hard Chest, Intelligence, Super Adorable, Hot, Delicious  Let's me introduce this fine specimen of man to you, Nick Rixey! 

And our cute heroine, Becca Merritt, 

Becca has no choice but to seek Nick's help! Her brother Charlie goes missing! She seeks Nick for help and everything between them not only becomes hot and hotter and Nick brings his team for this rescue mission! Alwiz hands off for our military team! Things that they have to deal with and yet they are the best!!!!!!You will fall in love and enjoy every moment for this book! Thumbs up! Am already looking for my next book from this author. And so can't wait for Shane's story next for the those missing answers about their mission! LOL  ""Are you wet for me?""""Oh, f**k, sunshine, you are so wet.""""I am wound too tight Becca. Do you understand? in about ten seconds, I'm going to be all over you. And I'm not going to be able to go slow. It's gonna be hard and fast and rough."" ""The man had big freaking hands, and his fingers stretched and filled her until her blood hummed and raced""""Nice ass"" 

I need a drink! This book is brilliant! Hope you all will enjoy it too! <3**ARC provided by publisher**",5.0
7,Broken,Romantic Suspense,"Ex-SEAL and LOST founder Gabe Spencer is accustomed to the unusual in his job. But when knockout Eve Gray steps into his office, he's rattled. For the mysterious woman is a dead ringer for the heiress thought to be the latest prey of the serial killer who goes by the name Lady Killer.When Eve awoke in an Atlanta hospital, her past was a blank slate. Then she recognized her own face in the newspaper and vowed to learn the truth. Determined to confront the nightmares hidden in her mind, she never expects to find a partner in Gabe.As Gabe and Eve work together, their explosive attraction becomes irresistible. Gabe knows that his desire for Eve is growing too strong, bordering on a dangerous obsession, but nothing pulls him away from her. And when another Eve lookalike disappears, Gabe vows to protect Eve at all costs. While Eve may have forgotten the killer in her past, it's clear he hasn't forgotten her.","I actually don’t read romantic suspense very often anymore.  I used to read it slavishly but then I found I was galloping  through the story to get to the end expecting to see the Bad Guy come after the heroine and our hero ride in like a white knight and rescue her and I was skimming over the story and kind of missing the romance so I only dip my toes back in the suspense pool occasionally and when I do, I want it to be a good one.I’ve read Cynthia Eden’s Deadly series in the past and I know, as a romantic suspense, author she gives me what I’m looking for – seriously nasty and sadistic bad buys, a hot sexy romance and a highly suspenseful story and that’s what I was looking for in Broken and I definitely found it.Broken gives us not only a hot romance and a suspenseful story but also works hard at setting the scene for the rest of the LOST series, introducing us to the main characters who will no doubt star in future books and giving us a little bit of their background.  It seems all these people have something very dark in their past which has driven them to be part of Gabe Spencer’s new missing persons agency and there’s just enough here to whet your appetite to want to carry on with the series.So we have Gabe Spencer, head honcho of the LOST organisation, and Eve Gray who has survived torture and near death to wake up with no memory of what happened that day or anything before.  The only thing she knows is that she’s escaped a killer and she looks uncannily like a missing heiress, suspected to be one of the killer’s victims.  She turns to Gabe and his organisation for help and they share an incredible attraction and, once he realises that the killer is coming for again, Gabe’s protective and possessive traits come rising to the surface and he vows to keep the woman he’s falling in love with safe from the clutches of her would-be murderer.This is a highly complex, multi-layered suspenseful story with plenty of red herrings and potential suspects. Pay close attention to all the details as there is plenty of little clues out there – some to definitely throw you off the scent but some do point straight at the killer.  When he’s eventually unmasked, he was one of my suspects but I had several so I don’t think it was at all predictable.  The plot is intriguing enough to keep me reading and gathering pace as I found myself dying to find out who the killer is and I once again found myself reading just a little too fast.  I tried to slow myself down, to appreciate the growing feelings between Gabe and Eve but I found it nigh on impossible!  Suspense novels just do this to me – I just have to know!I think the mystery pretty much takes centre stage here but it’s interwoven pretty well with the romance between the two central characters and, for the most part, I really did feel their overwhelming passion and desperation at the gathering danger for Eve.  It was very well done with some truly emotional and very hot sex scenes.  I very much enjoyed it, devoured it in fact.  The Killer truly was a fucked up, sadistic bastard and I think Cynthia Eden does this type of bad guy really well.  I very much liked Gabe and his crew who will no doubt entertain us for several books to come and I look forward to reading them.  If I have any complaints, it’s that I didn’t always completely get Gabe and Eve’s connection – it seemed to come out of nowhere, a kind of insta-love but I did eventually get on board with it and start rooting for them.  A good start to what promises to be a great series.
4 LadyKiller stars
ARC courtesy of Avon Romance and Edelweiss",4.0
8,Beg for Mercy,Romantic Suspense,"He lurks in the shadows, waiting and watching . . . And once he has you, all you can do is. . .Beg For MercyMegan Flynn thought she was falling in love. Cole Williams wasn't just handsome and passionate, he was one of the good guys. Or so she thought, until he arrested her brother-the only family she has left-for a murder she knows he couldn't have possibly committed. Now, with her heart broken and her brother's life hanging in the balance, Megan will risk everything to prove his innocence. Even if that means throwing herself into the path of a killer with a hauntingly familiar MO.Seattle Detective Cole Williams had given up on making Megan see reason where her brother is concerned. But when she insinuates herself into the most shockingly brutal case Cole has ever worked, he can't stand idly by. Plunged into a secret world where the city's elite indulge their darkest desires, Cole will do whatever it takes to bring down a madman who has made Megan his most coveted prey.","Wow, what a book! I'm not even going to attempt much of a review, since my head is still spinning and I'm all jumpy with too much adrenaline! The suspense in this book was just awesome--Jami Alden, you hit this one out of the park! From page one I could not put it down. Everything worked in this book, and it pushed all my buttons and hit all my switches--a perfect romantic suspense.This isn't a lightweight RS at all--it's gritty, often graphically violent, deals with prostitution, rape, and human trafficking, and will leave you anxious as our heroine tries to save her brother who's been sentenced to die by lethal injection in just over a week. She's convinced her war hero brother didn't commit the rape and murder that he's been convicted of, and she doggedly pursues every lead she can follow to clear her brother's name.I had to admire her faith in her brother's innocence and her determination to get him exonerated, even when the facts all pointed to him being guilty. She put her own life on hold for 3 years, and was the only one who believed in him. Her blossoming romance with the tough cop who ended up arresting her brother was destroyed, yet that didn't stop her. She was going to prove her beloved brother's innocence or die trying (which nearly happened)!I love how Jami Alden plotted this book, even though I had a strong suspicion who the killer was almost from the start. But that didn't hinder my enjoyment of the book at all. And when she revealed the killer's backstory, darn if I didn't feel a bit sorry for him! No wonder he turned out to be such a twisted, violent sicko!This book was very reminiscent of a Karen Rose thriller, only...dare I say it? It was better! Because she also gave us a romance with some heat! The book starts out 3 years prior, when our heroine (Seattle free-lance writer/ volunteer child advocate/ aspiring social worker Megan Flynn) and our hero (by-the-book homicide detective Cole Williams) are about to 'get busy' when they're interrupted by a phone call (this happened more than once when they were about to get intimate in this story). Of course this phone call sets the whole plot in motion, since it involves a murder that Megan's brother is a part of. Cole is the arresting officer, and you can kiss his and Megan's relationship goodbye at this point. Three years later their paths cross again (during a murder investigation with striking similarities to her brother's case), and despite a lot of left over animosity from Megan, they both realize that they still have feelings for each other. Cole still thinks that Megan's brother (Sean) is guilty, but he tries to help her anyway in what he thinks is her futile search to find the 'real' killer. As Cole and Megan get closer, he starts to realize that maybe Megan is on to something--did they arrest the wrong man?Yesss, lots of nail-biting suspense in this one, lots of gruesome violence, some sexual tension that pays off nicely in some wickedly hot bedroom (and kitchen and bathroom) scenes, and a conclusion that will leave you frantically biting your nails...Hurry, Cole! When the book ended I still had a few unanswered questions, which hopefully will be answered in the next book.Awesome work--Jami Alden, I think you should write nothing but RS, and I can't wait until Hide from Evil comes out! Beg For Mercy is one of my favorite books of the year--5 big stars!",5.0
9,Hotter After Midnight,Paranormal,"A Seductive Nighttime World. . . Dr. Emily Drake's psychotherapy patients tend to be a little unusual. Instead of midlife crises and mother fixations, Emily treats vampires with blood phobias and sex-demons looking for meaningful relationships. But healing these powerful beings requires an important rule: Never trust a shifter. Especially not one like Detective Colin Gyth, whose gold-flecked eyes and predatory air make Emily realize how much she longs to lose control. . .A Dark And Dangerous Hunger. . .Colin can't believe the doctor he has to work with on the Night Butcher murder case is the one person who could expose his true identity as a wolf shifter. Smart and sexy, Emily brings out the alpha male in Colin, unleashing a wild desire that takes them both over the edge. . . But in the shadows, the Night Butcher waits, eager to spill Emily's blood and taste her terror. And he'll use any means to destroy her, including the one person she has grown to trust. . .","I read this book awhile back and don't have a lot of recollection of the details of the story however, I do recall having a hard time forming any real connection with the characters, but I did enjoy the plot. To be honest, my favorite parts of the book were the sessions with Dr. Emily Drake's psychotherapy patients. A Succubus who wanted to be looked at as more than just a sex symbol, a vampire who didn't want to drink blood... those were some funny characters!While I think this book suffers from FITSs, First In The Series syndrome  it was still a good read and I plan to continue the series.",3.0
10,When You Dare,Romance,"The tougher they are, the harder they fall…Professional mercenary Dare Macintosh lives by one hard and fast rule: business should never be personal. If a cause appeals to him and the price is right, he'll take the mission he's offered. But then the lovely Molly Alexander asks him to help her track down the men who'd had her kidnapped—and for the first time, Dare's tempted to combine work with pleasure.Fiercely independent, Molly vows to trust no one until she's uncovered the truth. Could the enemy be her powerful, estranged father? The ex-fiancé who still holds a grudge? Or the not-so-shy fan of her bestselling novels? As the danger heats up around them, the only anchor Molly has is Dare himself. But what she feels for him just might be the most frightening thing of all…","First impressions: Hello, pretty cover. I'd ask how you are, but I think it's fairly obvious. You're doing great. So what's going on back there, behind your beautiful abs of awesome? No, you're right. I don't really care.Lasting impressions: A smart, strong woman meets a smart, strong man and somehow both are surprised they fall in love. I'm all about the slow burn, but with this one I was snapping my fingers hoping they'd move it along. I gots thangs to do.Conflicting impressions: Dare is a mercenary, and a lot of time is spent talking about his job or watching him protect Molly, but we get snubbed when it comes to actually seeing his dare I say, daring rescue? I could pun all day with this guy.Overall impressions: It took me probably three weeks to get through this book. I would read a few chapters, put it down, then not ever really get the urge to pick it back up. I was on board with a handsome mercenary who rescues a young woman, then falls in love while trying to track down her kidnappers. If only that was the book I got.Instead, I got a really boring but handsome rich dude who says he's a killer mercenary but in reality is just dull and likes dogs. A LOT. He calls them ""his girls"" and I think that's supposed to be cute but I thought it was weird. The author wanted to make us think he had daughters by using this vague phrase. Yeah. We get it. Very clever.The book starts after the main event, which annoyed me. Dare has just rescued this woman out of the goodness of his heart while actually in Mexico to rescue his friend's sister from human traffickers. There was this extra American lying around so he just scooped her up and put her in the bin with the others. It's a good thing Lori Foster doesn't try to make Molly feel indebted to him for going out of his way to save her because that would be super extra annoying.But no. Molly feels indebted not because Dare rescued her, but because she hasn't paid him. She spends the rest of the book worrying about the expenses Dare is racking up in order to get her things like food, clothing, and shelter (the nerve!) and is so overly apologetic about being scared and seemingly weak that she drives Dare (and us) crazy.The secret is that Dare doesn't think she's crazy for being scared. He thinks she's actually handling things really well and is so impressed with how awesome and strong she is that he wants to smooch her. Instead of going all Moonstruck and slapping Molly while Cher-ily telling her to ""Snap out of it!"" he just dives in and plants a kiss on a shell-shocked recovering kidnapping victim who was beaten and starved in a Mexican shack for almost two weeks.Surprisingly, Molly reacts by wondering if she can get some more of that smooching. That pain in your eye? That's called an eyeroll sprain. You may want to go put some ice on that.The single most frustrating part of this book was that despite the somewhat forgivable back-and-forth nature of the characters' escalating feelings, the plot itself didn't really go anywhere. We come in after the exciting rescue and then spend a few hundred pages watching Molly try to build her life back up to normal, then spend the last 50 pages finding out whodunnit and watching Dare take them down in a very brief scene. Where was the danger I was promised in the summary? I wanted way more action than I got, and was disappointed with how slowly the book moved.Our main characters spent most of the book telling each other the same thing over and over again, highlighting their mutual admiration. ""You're perfect."" ""No, you're perfect."" ""You're so strong."" ""No, you're so strong."" ""I secretly love you."" ""No, I'm the one in love with you secretly."" Ad nauseam. If you can stomach the slow pace and just want to follow the romance, this is for you. If you're looking for some excitement or surprises, I wouldn't recommend it.",2.0
