,title,genre,description
0,City Under Siege,Romance,"London is a city in flames. Tensions are high and a critical situation is about to go from bad to worse. The Prime Minister wants to send a message, and the SAS will be the ones to deliver it.Emotional detachment is my speciality. I’m ruthless and cut throat, but there is nobody better.Sarah Tatem is an innocent. Caught up in a world in which she doesn’t belong, and trying desperately to do the right thing. My job is to keep her safe long enough to get what’s needed, and bring an end to this siege of terror.But something has changed. I’ve learned that the only thing stronger than loyalty is love, and now she’s gone.My name is Lieutenant Tom Harper, and I’m about to unleash hell."
1,Out of Plans,Romance,"THE NEW PLAN:  * Find Marc * DON'T find Marc * Take down a Russian Bratva boss * Don't have sex with Kingsley * Find Marc * Take down a Colombian drug lord * Don't fall for Marc again * DON'T FIND MARC * Kill every .. * * *SCREW THE PLAN AND JUST WING IT  This is the story of what happens when best laid plans fail, and a vengeful woman is forced to find her own way once again. A bond broken, trust shattered, and too many lies to keep track of find Marc and Lily all out of plans and running out of time. Can they find their way back to each other before trouble finds them first, or is it really the end of their journey?"
2,Best Laid Plans,Romance,"Together, they'll learn that sometimes even the best laid plans can fail.If this NOVEL were a MOVIE, it would have an R rating from the MPAA. Contains: Violence, Grisly Images, Strong Language, Nudity, and Graphic Sexual Content"
3,Wolf Trouble,Paranormal,"..There's never been a female on the Dallas SWAT team and Senior Corporal Xander Riggs prefers it that way. The elite pack of alpha male wolfshifters is no place for a woman. But Khaki Blake is no ordinary woman.When Khaki walks through the door attractive as hell and smelling like heaven, Xander doesn't know what the heck to do. Worse, she's put under his command and Xander's protective instincts go on high alert. When things start heating up both on and off the clock, it's almost impossible to keep their heads in the game and their hands off each other..."
4,Shades of Treason,Science Fiction,"Instead, they gave their lives to save hers.Lieutenant Ramie Ashdyn is an anomaly, a person whose genetic makeup makes her stronger and smarter than the average human. She’s pledged her life to protect the Coalition, an alliance of thirteen planetary systems, but when a top secret operation turns bloody, she’s charged with treason and the brutal executions of her teammates.The Coalition needs the information Ash’s team stole on their last mission, so they send in Commander Rhys “Rest in Peace” Rykus to get it. He’s the man who’s responsible for turning Ash into an elite soldier… and he’s a man who isn’t, never was, and never will be in love with the woman he trained. Or so he tells himself.Ash wants nothing more than to clear her name and be the woman her former instructor wants her to be, but the enemy who killed her teammates did more than frame her for treason and murder: they telepathically silenced her mind, preventing her from saying anything that might point to the truth about what happened.Now Ash is trapped and set to be executed, the truth dying with her. Unless she can prove her innocence. But taking that path could destroy the Coalition she’s sworn to preserve and protect…"
5,Witness to Passion,Romantic Suspense,"Under his protection and in his bed…For Fallon Wayland, birthdays are just another reminder of her looming spinsterhood. This year is shaping up to be no different. Unfairly fired from her job, dumped by her boyfriend, and oh yes, witnessing the murder of a high-ranking lieutenant in the local crime family… Yeah, birthdays suck.Ever since a disastrous, hot-as-hell kiss years ago, soldier-turned-security specialist Shane Roarke has avoided his baby sister’s reckless—and gorgeous—best friend. Yet when her life is threatened after she witnesses a gang hit, he insists on protecting her…even if she objects. The two are forced to hole up in a safe house. Alone. Passion long denied erupts between them, burning away their inhibitions. But even as layers—and clothes—are peeled away, danger closes in. Shane and Fallon might finally have a chance at love…if they survive long enough to see it."
6,Hard as It Gets,Romance,"..Trouble just walked into Nicholas Rixey's tattoo parlor. Becca Merritt is warm, sexy, wholesome--pure temptation to a very jaded Nick. He's left his military life behind to become co-owner of Hard Ink Tattoo, but Becca is his ex-commander's daughter. Loyalty won't let him turn her away. Lust has plenty to do with it too.With her brother presumed kidnapped, Becca needs Nick. She just wasn't expecting to want him so much. As their investigation turns into all-out war with an organized crime ring, only Nick can protect her. And only Becca can heal the scars no one else sees.Desire is the easy part. Love is as hard as it gets. Good thing Nick is always up for a challenge.."
7,Broken,Romantic Suspense,"Ex-SEAL and LOST founder Gabe Spencer is accustomed to the unusual in his job. But when knockout Eve Gray steps into his office, he's rattled. For the mysterious woman is a dead ringer for the heiress thought to be the latest prey of the serial killer who goes by the name Lady Killer.When Eve awoke in an Atlanta hospital, her past was a blank slate. Then she recognized her own face in the newspaper and vowed to learn the truth. Determined to confront the nightmares hidden in her mind, she never expects to find a partner in Gabe.As Gabe and Eve work together, their explosive attraction becomes irresistible. Gabe knows that his desire for Eve is growing too strong, bordering on a dangerous obsession, but nothing pulls him away from her. And when another Eve lookalike disappears, Gabe vows to protect Eve at all costs. While Eve may have forgotten the killer in her past, it's clear he hasn't forgotten her."
8,Beg for Mercy,Romantic Suspense,"He lurks in the shadows, waiting and watching . . . And once he has you, all you can do is. . .Beg For MercyMegan Flynn thought she was falling in love. Cole Williams wasn't just handsome and passionate, he was one of the good guys. Or so she thought, until he arrested her brother-the only family she has left-for a murder she knows he couldn't have possibly committed. Now, with her heart broken and her brother's life hanging in the balance, Megan will risk everything to prove his innocence. Even if that means throwing herself into the path of a killer with a hauntingly familiar MO.Seattle Detective Cole Williams had given up on making Megan see reason where her brother is concerned. But when she insinuates herself into the most shockingly brutal case Cole has ever worked, he can't stand idly by. Plunged into a secret world where the city's elite indulge their darkest desires, Cole will do whatever it takes to bring down a madman who has made Megan his most coveted prey."
9,Hotter After Midnight,Paranormal,"A Seductive Nighttime World. . . Dr. Emily Drake's psychotherapy patients tend to be a little unusual. Instead of midlife crises and mother fixations, Emily treats vampires with blood phobias and sex-demons looking for meaningful relationships. But healing these powerful beings requires an important rule: Never trust a shifter. Especially not one like Detective Colin Gyth, whose gold-flecked eyes and predatory air make Emily realize how much she longs to lose control. . .A Dark And Dangerous Hunger. . .Colin can't believe the doctor he has to work with on the Night Butcher murder case is the one person who could expose his true identity as a wolf shifter. Smart and sexy, Emily brings out the alpha male in Colin, unleashing a wild desire that takes them both over the edge. . . But in the shadows, the Night Butcher waits, eager to spill Emily's blood and taste her terror. And he'll use any means to destroy her, including the one person she has grown to trust. . ."
